"v1013","mes_nome","sexo","raca","faixa_etaria","escolaridade","faixa_renda","n_amostra","populacao_estimada"
"10","Outubro","Masculino","Amarela","50-59","Sem instrucao","Sem informacao","3","1302.0"
"10","Outubro","Feminino","Branca","30-39","Sem instrucao","Ate 1 SM","5","1174.0"
"10","Outubro","Masculino","Preta","60+","Pos-graduacao","Sem informacao","12","5187.0"
"10","Outubro","Masculino","Indigena","18-29","Medio incompleto","1 a 2 SM","3","1789.0"
"11","Novembro","Feminino","Indigena","60+","Superior incompleto","1 a 2 SM","1","470.0"
"9","Setembro","Masculino","Amarela","60+","Superior completo","Acima 4 SM","4","4113.0"
"9","Setembro","Masculino","Indigena","60+","Medio completo","Sem informacao","8","3142.0"
"9","Setembro","Masculino","Indigena","18-29","Fundamental incompleto","1 a 2 SM","2","693.0"
"9","Setembro","Feminino","Preta","40-49","Superior incompleto","Acima 4 SM","3","2401.0"
"11","Novembro","Feminino","Parda","0-17","Fundamental completo","1 a 2 SM","1","384.0"
"9","Setembro","Feminino","Amarela","18-29","Pos-graduacao","2 a 4 SM","3","3527.0"
"11","Novembro","Feminino","Preta","60+","Fundamental completo","2 a 4 SM","2","2040.0"
"11","Novembro","Masculino","Indigena","30-39","Superior completo","1 a 2 SM","4","1752.0"
"11","Novembro","Feminino","Parda","40-49","Sem instrucao","2 a 4 SM","4","1476.0"
"11","Novembro","Feminino","Parda","0-17","Medio completo","1 a 2 SM","5","4302.0"
"11","Novembro","Feminino","Preta","18-29","Superior incompleto","Acima 4 SM","5","4477.0"
"10","Outubro","Feminino","Branca","50-59","Medio incompleto","Sem informacao","356","186994.0"
"10","Outubro","Feminino","Parda","30-39","Medio incompleto","Ate 1 SM","311","174510.0"
"10","Outubro","Masculino","Parda","40-49","Medio completo","Sem informacao","688","364122.0"
"10","Outubro","Masculino","Preta","18-29","Medio completo","Ate 1 SM","342","228696.0"
"10","Outubro","Masculino","Amarela","40-49","Medio completo","Sem informacao","13","6848.0"
"10","Outubro","Feminino","Parda","30-39","Pos-graduacao","2 a 4 SM","181","107708.0"
"10","Outubro","Feminino","Branca","30-39","Superior completo","2 a 4 SM","920","621864.0"
"10","Outubro","Masculino","Parda","40-49","Medio completo","Acima 4 SM","183","113573.0"
"10","Outubro","Masculino","Parda","30-39","Pos-graduacao","Acima 4 SM","163","103670.0"
"10","Outubro","Feminino","Branca","30-39","Superior incompleto","1 a 2 SM","294","198721.0"
"10","Outubro","Masculino","Parda","30-39","Fundamental incompleto","2 a 4 SM","153","79247.0"
"10","Outubro","Feminino","Parda","18-29","Pos-graduacao","Sem informacao","48","26397.0"
"10","Outubro","Masculino","Branca","60+","Medio incompleto","Sem informacao","337","167898.0"
"10","Outubro","Masculino","Parda","50-59","Medio incompleto","2 a 4 SM","80","45111.0"
"10","Outubro","Masculino","Branca","60+","Fundamental incompleto","2 a 4 SM","218","92818.0"
"10","Outubro","Feminino","Parda","0-17","Fundamental completo","Ate 1 SM","5","3818.0"
"10","Outubro","Masculino","Parda","18-29","Superior completo","2 a 4 SM","176","128715.0"
"10","Outubro","Masculino","Branca","50-59","Superior incompleto","2 a 4 SM","95","51929.0"
"10","Outubro","Feminino","Amarela","40-49","Superior incompleto","Sem informacao","2","2222.0"
"10","Outubro","Masculino","Preta","60+","Superior completo","2 a 4 SM","17","9680.0"
"10","Outubro","Feminino","Branca","50-59","Pos-graduacao","Ate 1 SM","23","14864.0"
"10","Outubro","Masculino",,"60+","Superior completo","Sem informacao","1","413.0"
"10","Outubro","Masculino","Branca","30-39","Fundamental completo","Acima 4 SM","18","9716.0"
"10","Outubro","Masculino","Branca","18-29","Fundamental incompleto","2 a 4 SM","35","19124.0"
"10","Outubro","Masculino","Preta","50-59","Sem instrucao","Ate 1 SM","54","21737.0"
"10","Outubro","Feminino","Amarela","40-49","Medio completo","Acima 4 SM","4","4022.0"
"10","Outubro","Feminino","Preta","50-59","Medio completo","Acima 4 SM","3","1046.0"
"9","Setembro","Masculino","Preta","30-39","Medio completo","Acima 4 SM","31","20028.0"
"9","Setembro","Feminino","Parda","30-39","Medio incompleto","Sem informacao","839","443936.0"
"9","Setembro","Masculino","Branca","60+","Fundamental completo","Sem informacao","1214","618796.0"
"9","Setembro","Masculino","Branca","18-29","Superior incompleto","1 a 2 SM","646","485154.0"
"9","Setembro","Masculino","Preta","50-59","Sem instrucao","Ate 1 SM","61","21681.0"
"9","Setembro","Feminino","Amarela","0-17","Fundamental incompleto","Sem informacao","107","68853.0"
"9","Setembro","Masculino","Branca","60+","Medio completo","Sem informacao","1685","845268.0"
"9","Setembro","Feminino","Branca","40-49","Superior completo","Acima 4 SM","540","370123.0"
"9","Setembro","Feminino","Branca","40-49","Pos-graduacao","Acima 4 SM","478","277392.0"
"9","Setembro","Masculino","Parda","18-29","Superior completo","Acima 4 SM","63","36580.0"
"9","Setembro","Feminino","Branca","50-59","Superior completo","Ate 1 SM","110","62820.0"
"9","Setembro","Feminino","Branca","30-39","Medio completo","1 a 2 SM","1128","741729.0"
"9","Setembro","Feminino","Preta","50-59","Medio completo","2 a 4 SM","30","13466.0"
"9","Setembro","Feminino","Branca","50-59","Medio completo","Ate 1 SM","436","215932.0"
"9","Setembro","Feminino","Preta","60+","Medio completo","Sem informacao","339","169880.0"
"9","Setembro","Feminino","Preta","40-49","Medio completo","Sem informacao","367","205032.0"
"9","Setembro","Feminino","Preta","60+","Fundamental incompleto","Sem informacao","1054","493624.0"
"9","Setembro","Feminino","Parda","40-49","Pos-graduacao","Acima 4 SM","196","90220.0"
"9","Setembro","Masculino","Amarela","30-39","Fundamental completo","1 a 2 SM","4","4992.0"
"9","Setembro","Masculino","Indigena","18-29","Fundamental incompleto","Sem informacao","12","5079.0"
"9","Setembro","Masculino","Amarela","18-29","Superior incompleto","Sem informacao","26","14487.0"
"9","Setembro","Masculino","Branca","60+","Sem instrucao","Ate 1 SM","83","31155.0"
"9","Setembro","Masculino","Parda","0-17","Fundamental completo","Ate 1 SM","15","4064.0"
